id_pelicula,titulo,fecha,resumen,ranking,id_director
12,Quod quos amet ullam.,2024-07-16, Corporis necessitatibus modi laudantium possimus. Optio culpa ipsam inventore ipsam. Amet impedit nihil magni necessitatibus in. Magnam consectetur ea facilis possimus accusantium dolores. Porro quod ut vitae aliquam quod eos. Debitis alias tenetur commodi. Est ratione facilis architecto molestiae ducimus deserunt.,2.5,4
13,Vel iste.,2009-03-08, Provident dolore accusamus in consequuntur nemo eligendi. Odio temporibus libero facere commodi eligendi fugit quo. A nostrum esse atque veniam vitae maxime. Non dolor facilis. Sed dignissimos minus recusandae maiores ea ut. Beatae voluptatibus vero fuga at magnam natus. Sint corrupti minima commodi possimus pariatur iste.,2.8,14
14,Tempore error.,2022-03-24, Possimus minus necessitatibus optio a quod eius. Asperiores dicta harum aperiam. Illo quia nemo aliquam magni libero consequatur. Voluptas fugit minima quam quaerat. Repudiandae nisi tempore id officiis. Earum optio accusantium reprehenderit. Modi tempore quam libero. Reprehenderit alias voluptatum quis. Voluptatibus earum asperiores vel omnis explicabo.,4.9,16
15,Aspernatur sit.,2013-01-11," Maxime repellendus asperiores id quos. Harum natus fugiat exercitationem non sit quis. Delectus ea aliquid modi officia. Sequi iusto vel ut harum hic. Saepe cum enim rerum.
Distinctio a consequatur. Doloremque dolorum commodi nisi ipsum.
Tempora officiis voluptas esse.",2.2,4
16,Praesentium quam in.,2013-03-01," Voluptatem soluta dolor atque qui ducimus vel officiis. Velit quisquam fuga aspernatur ut laudantium. Deserunt et sunt ea. Explicabo deserunt vero odit tenetur hic. Sequi voluptas aliquid fugit in.
Nihil quasi dolorem autem culpa omnis. Aliquam asperiores voluptatibus.",3.0,2
17,Corrupti iusto.,2020-11-23," Nostrum cum ullam.
Harum aut eos. Maiores odio repellendus unde iure. Sed enim magni quo. Tempora illum dolorem necessitatibus inventore aut praesentium. Iure culpa sapiente voluptatem asperiores. Mollitia ipsum libero inventore dolorum. Pariatur accusamus iste iste odio numquam similique. Aperiam voluptates eaque quod dolores debitis fugit.",4.1,6
18,Dignissimos minus.,2018-03-04," Maiores architecto placeat temporibus animi fuga eligendi. Facere voluptatum exercitationem ipsa iste consectetur id. Unde et odit nobis dicta. Autem repudiandae modi delectus iste.
Perferendis voluptate nemo asperiores reprehenderit. Libero vitae rerum eius quos.",4.7,10
19,Sint ab sapiente.,2017-06-01," Magnam repellat doloribus illo. Autem suscipit consectetur nemo dolores quia consectetur. Nisi natus nemo impedit ullam. Voluptas culpa quod. Nulla dolorem ipsam facere libero. Voluptas neque explicabo magnam aliquid dolor. Autem similique consequuntur quas sed pariatur maiores.
Commodi voluptate praesentium nihil itaque tempore. Quibusdam itaque dolorum illo.",4.7,19
20,Inventore.,2022-12-06, Fugiat consequatur rem esse praesentium voluptates explicabo. Sequi reiciendis repellat sunt totam saepe libero alias. Debitis nulla modi ab. Reprehenderit fugit inventore deserunt perferendis. Consectetur omnis doloremque. Aliquam sit quas quis. Sapiente totam atque.,3.3,2
21,Vel perspiciatis.,2009-10-28," Enim laboriosam optio possimus quos dignissimos fugiat. Aliquid magnam soluta illum. Molestias explicabo at perferendis. Totam accusantium quas quos. Ducimus sit odio tempore voluptas.
Enim maiores impedit fuga animi eum. Sunt molestias odit illo. Earum vel distinctio architecto impedit dolore fugiat voluptatibus. Delectus pariatur nihil iste.",1.6,3
22,Dignissimos laudantium amet.,2016-12-06," Minus ab quasi voluptates quibusdam officiis. Amet minus eaque architecto. Quibusdam sed ratione dolorum necessitatibus. Porro sed dolores possimus beatae dicta.
Saepe quo doloribus. Ipsam in quibusdam rerum expedita labore. Dolore eveniet asperiores dignissimos optio reiciendis aliquam. Odio odit consequatur ad nesciunt aspernatur quae.",2.0,20
23,Debitis laudantium.,2010-02-04, Nostrum iusto tenetur dignissimos itaque. Nemo vel dolores debitis eveniet. Repellat exercitationem omnis dolore quo libero consequatur. Ad nihil ab iure aliquid fuga dolorem fugit. Nulla hic unde necessitatibus quaerat. Voluptate minima deserunt dicta itaque.,2.1,15
24,Corporis maxime.,2025-02-10, Laborum facere consequatur sequi voluptatem natus. Voluptas doloremque iusto nihil quisquam reiciendis. Unde impedit labore repudiandae est expedita. Magni in omnis voluptas ipsum inventore. Dolorem quas doloremque placeat officia. Fugiat architecto culpa placeat dicta rem omnis. Praesentium tempore doloribus vero.,4.8,6
25,Veritatis consequatur voluptatum eos.,2023-11-13, Ea officiis sunt necessitatibus maxime unde. Sequi amet iste similique occaecati. Ex nam in debitis ut consequuntur quasi nostrum. Ad quis explicabo odit facere. Blanditiis velit odio quas. Omnis accusantium quas tempore odio veritatis. Accusantium doloribus ducimus eos deleniti impedit.,4.4,4
26,Odit nemo.,2023-07-02," Cumque quidem vitae soluta id facilis officia praesentium. Ipsa repellendus fugit iste. Temporibus est dolores deleniti. Doloribus quasi officiis vitae. Dolores temporibus dicta sapiente minima laborum. Provident commodi quos odit repellat. Inventore cum expedita. Ad tempore asperiores reprehenderit quam.
Illo vitae dolor tenetur aspernatur. Maiores quaerat quibusdam.",5.0,10
27,Pariatur distinctio.,2013-10-31, Natus repellat laborum porro. Impedit distinctio hic occaecati commodi iusto. Esse voluptates odit possimus. Ipsa neque quam porro ab pariatur similique. Delectus natus ipsum error laudantium temporibus. Ipsam fugiat expedita ad. Expedita possimus iure a. Fugit saepe eaque molestias commodi debitis. Incidunt saepe nisi quam delectus cupiditate eos.,1.9,15
28,Sequi molestiae esse.,2017-08-22," Reprehenderit expedita distinctio vitae enim. Distinctio voluptates omnis odit incidunt cumque sit. Ex sapiente odio consequatur aliquam repudiandae. Dignissimos natus reprehenderit assumenda recusandae enim.
Ut dignissimos fugit. At enim ex nihil reiciendis eveniet. Dolore corrupti illo dolorum.",3.1,14
29,Harum nobis dignissimos.,2009-06-22, Dignissimos mollitia labore tempora repellat doloremque. Impedit suscipit soluta. Libero eaque ab eius. Reprehenderit repellat nobis modi. Maiores odit quas. Soluta minus asperiores sit sint minus nobis distinctio. Omnis quo non quod officia provident asperiores.,1.8,3
30,Voluptates alias.,2019-09-03, Quis minus vero sequi in illo. Officiis corporis rem ipsa. Sit nostrum odio quibusdam vel nesciunt deserunt. Omnis perspiciatis esse saepe voluptate optio. Ipsa nostrum voluptatum repudiandae. Beatae nostrum ratione necessitatibus sit tempore. Non iusto sit possimus. Repellendus officia accusamus.,4.5,14
31,Unde architecto.,2020-08-01, Minima enim atque. Vel tempore quae labore repellendus. Maiores enim rem minima. Rerum facere iusto mollitia. Ab consequuntur veritatis. Maiores aut labore quae natus. Fugit maiores distinctio magnam sed. Asperiores fugiat dolore. Ea animi eum veniam ad ullam. Quae vel atque iure veritatis illo.,2.6,7
32,Velit odio dolorem.,2010-05-20," Quam facilis repudiandae ex iusto molestias. Architecto explicabo est.
Itaque saepe cum nobis aut dicta cumque. Rem laborum cumque praesentium neque. Necessitatibus ab nam fugiat esse pariatur. Possimus labore maiores quia. Dolorem esse dolor dicta vero placeat eius esse. Deserunt ab repellat suscipit maxime earum. Possimus sit nisi repudiandae iusto impedit.",2.2,1
33,Accusantium dolor.,2023-12-27," Distinctio nulla possimus sed. Enim dolores magnam enim provident ipsa a.
Officia ipsum nostrum est eos error id. Aut laudantium saepe. Repudiandae et est hic exercitationem veritatis hic dolores. Esse provident adipisci. Dolore nemo quo error dolore molestias quae laudantium. Architecto omnis molestias ipsam maiores unde.",2.6,20
34,Eveniet assumenda est iure.,2021-04-02, Nobis facere aperiam maiores ut. Rem error quis fuga earum unde minima earum. Nulla error sed ex quos debitis aspernatur. Ullam a impedit accusantium excepturi asperiores voluptas delectus. Perferendis modi reprehenderit animi dolorum. Quidem cumque tempora aut amet. Velit amet maiores. Ducimus tenetur dolorem tempore cumque eligendi perferendis.,4.3,16
35,Ullam repudiandae nam.,2018-04-11," Ex mollitia facilis minima quos facere voluptatem. Fuga odio fuga odio minus nulla. Doloribus quos iusto laborum quos quas laboriosam iure. Similique fuga ab saepe culpa atque. Vitae itaque eos necessitatibus. Suscipit impedit quae illum rerum. Earum atque cupiditate. Nisi eos porro adipisci.
Repudiandae dolore sapiente. Dignissimos minus illo in tempore.",3.4,7
36,Nesciunt ad.,2008-09-09, Aperiam libero dolores suscipit voluptatem. Totam rerum unde suscipit. Numquam iure laboriosam iusto ut. Numquam dolorem at hic eos. Possimus perferendis quisquam ipsa. Provident optio id porro voluptates sequi. Dolorem dolorum voluptate ipsa amet amet necessitatibus. Nesciunt voluptatum eius error ad.,4.8,18
37,Harum laboriosam quisquam.,2019-01-13," Libero doloribus porro laboriosam.
Quia nemo accusantium ratione ad modi. Maxime molestias amet ducimus harum debitis. Fuga id quas. Iusto quae excepturi maiores tenetur dolorem asperiores. Corrupti ratione natus tenetur. Nisi ea consequatur accusamus. Repellat in aspernatur voluptatibus vel minima.",1.7,6
38,Nam qui.,2022-07-15, Laboriosam nihil a. Possimus labore culpa ipsum enim minima animi. Consequuntur similique dolorem sequi alias laboriosam debitis. Nam perferendis explicabo repellat. Sequi tempore quod esse. Illum eveniet enim adipisci laborum. Veritatis neque aliquam. Corrupti atque quis recusandae.,4.1,5
39,Et molestiae quia.,2017-03-10, Unde at magnam sapiente. Suscipit perspiciatis veniam. Corrupti eos perferendis magnam cumque. Ut minus consequuntur exercitationem. Soluta eligendi sit vero tempora. Aliquid voluptate nemo quidem esse nobis hic. Expedita optio ex quis nihil esse. Suscipit accusantium molestias quo vel totam. Nam natus soluta nobis dolorem libero eligendi rerum.,4.0,15
40,Sit ducimus molestias.,2019-06-11, Enim veritatis ab nemo corrupti et exercitationem. Dolorem amet atque voluptates provident ipsam pariatur. Rem numquam explicabo nam autem quis. Beatae ipsum itaque nobis magnam quo magni. Voluptas quod perferendis ratione soluta. Pariatur aliquam odit cum.,3.9,13
41,Hic.,2023-06-15, Error explicabo esse dolor nemo mollitia a. Unde provident cum. Ex deserunt omnis magni consequatur sit. Voluptates quae voluptatibus illo. Quas sit recusandae tenetur aperiam. Ea beatae deserunt corporis impedit. Fugiat aperiam ea quibusdam modi earum.,2.6,20
42,Rerum maiores reprehenderit.,2019-12-09, Hic nulla consequuntur nam inventore. Doloribus velit esse maiores asperiores. Qui labore voluptatibus earum sequi. Occaecati dolor eveniet animi ipsum explicabo repellendus. Eaque eveniet officia ut iure quis minus. Non architecto natus asperiores.,1.1,14
43,Neque quas.,2016-07-22, Facilis blanditiis corrupti. Ipsa reiciendis fugiat earum nostrum. Officiis explicabo ab repudiandae. Officiis repellat perspiciatis quasi. Ipsam culpa deleniti perspiciatis officia. Ut perspiciatis quidem magni non. Corporis tempora possimus corrupti ad.,4.9,9
44,Odit delectus nobis similique.,2018-02-03," Alias ipsam beatae rem cum ipsum. Nostrum asperiores impedit dolorum sequi repudiandae minus delectus. Deleniti repellat et illum quisquam. Consequatur illo quos quis tempore.
In ipsum accusantium. Hic id dolores debitis nemo suscipit. Voluptate et autem omnis qui perspiciatis aliquam.",2.8,10
45,Quasi voluptatum quod.,2023-12-04, Quia quos repellendus vero quaerat minus. Et placeat a ullam. Quae explicabo aut impedit doloremque omnis illo. Consectetur impedit possimus ipsam culpa cumque. Doloribus eius sequi iste tenetur rem harum. Quos dicta autem quam sint debitis. Maiores illo quod esse illum quo nesciunt at.,3.9,2
46,Sint nesciunt minus.,2017-03-27, Repellat dolor non quae suscipit placeat soluta. Dignissimos excepturi rem autem blanditiis. Quaerat animi commodi. Quod natus repudiandae. Mollitia quia provident. Sit possimus ullam nam amet neque id facere. A eaque nihil sit quam repellendus aliquid veniam. Fuga accusantium iure esse. Ab delectus quos vel assumenda quasi error.,4.3,13
47,Voluptas.,2018-07-23, Maxime sequi ratione iure harum unde. Iste eaque occaecati officia tempora. Quis corrupti exercitationem laudantium temporibus culpa. Saepe alias ipsam quidem incidunt. Fugit tempore magnam praesentium ipsam. Sed consectetur quas ipsam laborum. Adipisci ut quo corporis in. Cupiditate id hic qui dolorem. Ab quibusdam et.,3.6,11
48,Quisquam aperiam.,2009-08-26, Commodi eligendi error numquam eum illum dolore. Hic eos esse quidem voluptas nisi nam. Nostrum esse quo dolorem distinctio quis quos odio. Nemo ut dolore. Dolore aliquid quo et eveniet iste. Mollitia quaerat a error. Architecto sed nesciunt tenetur labore tempora quidem. Laborum suscipit nulla laboriosam eos recusandae. Illo fuga ab.,4.1,7
49,Atque sit sed.,2013-07-06, Temporibus aliquam magni error dicta consequuntur incidunt. Assumenda deleniti quidem porro enim omnis. Quaerat odio corrupti nisi repellat quo. Odio ab deserunt. Incidunt corporis eum laborum nam. Neque aliquid incidunt facilis culpa. Occaecati aut pariatur minima. Nesciunt repellat ea eveniet excepturi praesentium. Ipsam tempora adipisci dolorem quas.,3.1,16
50,Alias nam ab.,2014-10-01," Dolore consectetur culpa. Quod eius tenetur veniam. Ab alias quisquam quidem laudantium.
Quibusdam quasi earum aliquam corporis. Eligendi aliquid expedita aliquam ipsa perspiciatis. Dolores incidunt natus sunt minus recusandae. Quae minima soluta ex et sit.",4.1,17
51,Labore non.,2015-08-22, Dolore saepe vitae. Veritatis molestias dolorem culpa. Repellat quod dolor at nam quia aliquam. Inventore blanditiis dolorem consequatur sapiente quas alias. Iusto quibusdam ratione repellat consequuntur cum. Ipsum quo sit itaque velit. Placeat amet fugit eius. Consequatur natus incidunt at. Ducimus molestias maxime dolore assumenda.,3.6,14
52,Magni minus rerum inventore.,2012-05-01, Error labore repellendus dolorem fuga. Possimus dicta blanditiis consectetur modi architecto repellat. Numquam modi quas qui rem quia. Aperiam facere ut adipisci quas. Nihil aliquid harum ducimus minima molestias ab. Fuga eos repudiandae ducimus. Quas perspiciatis tenetur nihil. Excepturi neque nulla amet mollitia accusamus.,4.0,11
53,Quaerat at.,2022-07-13, Eum modi incidunt unde exercitationem officiis occaecati. Molestias tempore fugiat repudiandae. Earum laboriosam dignissimos sunt. Laboriosam itaque recusandae dicta nisi aperiam temporibus. Ab commodi iure molestias quod. Hic necessitatibus minus cum natus accusantium deleniti. Nam beatae at fugiat ea.,1.2,10
54,Animi molestiae delectus.,2021-11-27, Recusandae perferendis deserunt debitis beatae atque. Quos expedita quod beatae esse quod eum ullam. Minima architecto accusamus quia dignissimos. Sed sint blanditiis enim. Itaque molestiae minima facere alias explicabo fugit. Ipsum ad alias praesentium et. Minus vel placeat consequatur ratione. Blanditiis neque neque temporibus voluptatibus deleniti.,1.1,8
55,Perferendis repellat.,2023-04-21, Iure harum saepe voluptates deleniti et. Quam odit quae id omnis veniam. Ea distinctio dolorum. Sequi nihil voluptate ex consequatur eaque velit. Officia unde qui ex. Porro placeat odit molestiae deserunt possimus veniam. Eius officia nam repudiandae.,4.6,5
56,Fugit iste nam.,2010-10-07," Nemo ad non praesentium ratione aspernatur deleniti architecto. Sunt non cumque vero. Consectetur odio unde laudantium. Perferendis quaerat fugit quae ducimus. Quia ex rerum voluptas. Nostrum quisquam accusantium nesciunt. Nobis consectetur perferendis sequi veniam quibusdam consectetur consequuntur.
A sunt magni esse debitis necessitatibus. Totam alias dolorem iusto.",3.1,18
57,Nesciunt fugiat.,2021-03-22, Et dolore animi excepturi qui labore veritatis. Eius vero sit nam quam ipsum odit. Sint blanditiis voluptatibus recusandae. Magni iste dolores velit placeat impedit voluptate. Autem quia in aut odio repudiandae eius autem. Omnis autem voluptate sunt dolores.,4.8,14
58,Unde magni.,2009-01-13, Qui iusto voluptates beatae reprehenderit illo laudantium natus. Possimus dignissimos autem officia. Ipsam cupiditate molestias. Delectus fugiat ducimus impedit repellendus. Itaque necessitatibus maiores nostrum tenetur. Magnam porro aliquam natus rerum. Necessitatibus impedit et asperiores.,4.7,13
59,Odio exercitationem.,2013-12-29, Quam atque voluptatibus nam excepturi. Repellendus nulla sequi accusamus totam reiciendis. Maxime laudantium veniam dolore earum amet. Esse quia culpa. Magni voluptas eligendi nulla reiciendis necessitatibus. In quidem a maiores. In voluptatem iusto accusamus nemo pariatur nesciunt.,4.8,3
60,Ipsa molestias nobis eius.,2008-02-28," Nobis voluptatum aut commodi iure similique saepe. Cumque nisi adipisci. Quis harum consectetur cumque.
Facere non quasi quos quidem rerum quis. Amet sapiente quae at fuga quaerat. Corporis maiores repellendus alias. Aliquam tempore eaque facilis dolor necessitatibus id similique.",3.4,17
61,Ullam totam consequatur.,2025-04-29, Minima autem consectetur consectetur. Nesciunt iusto animi dicta quia quidem. Modi cumque aliquam. Minus officiis esse veniam nemo minima libero. Voluptate accusamus ducimus suscipit. Enim reiciendis accusamus aliquam. Adipisci delectus et qui. Mollitia minus labore a ut labore sed. Quasi nesciunt odit alias qui fuga blanditiis.,4.7,3
62,Voluptatibus minima ullam.,2010-06-20, Reiciendis facilis fugiat accusamus. Rerum tempore porro dolor autem harum incidunt. Deserunt necessitatibus magni sunt quia animi ullam. Dolore eveniet sequi officia. Accusamus veritatis magnam quibusdam. Debitis pariatur ipsa nesciunt reiciendis ut quia.,5.0,11
63,Error facilis.,2009-12-18, Fuga consequatur libero nemo delectus est pariatur. Voluptas provident voluptatibus soluta suscipit ducimus. Qui officiis modi aperiam quae facere dignissimos voluptatem. Ut nostrum porro ab corporis unde ducimus. Voluptates quo modi facere rerum. Aliquam at minus hic animi. Quis iusto exercitationem a repellat. Ducimus ipsa consequatur odit molestias.,3.0,1
64,Quae sunt perferendis.,2019-09-25," Nam consectetur recusandae ratione nobis sint accusantium. Eius officiis magnam. Quod quisquam dolores quis eligendi. Atque facere sint distinctio.
Aspernatur est placeat iusto nobis. Neque iusto aperiam fugiat debitis ipsa iste. Accusamus laboriosam officia doloremque totam. Error officia officiis.
Cupiditate veniam at. Ex debitis fuga provident odio.",1.8,7
65,In.,2020-02-09, Rem nobis nulla occaecati. Soluta veritatis quidem cum sint facere rerum quasi. Nam tempore esse aliquid dolorum ullam. Quibusdam laudantium similique aliquam. Corporis accusantium numquam doloribus commodi. Omnis ab placeat maiores provident. Qui hic eligendi consectetur animi omnis. Quo iste eaque eaque mollitia accusamus corrupti.,3.3,19
66,Necessitatibus consequatur.,2007-03-14, Dignissimos debitis sint dolor minima id magnam. Atque aut quos quae. Nulla consectetur ab molestiae cumque excepturi. Ut officia repudiandae veniam asperiores. At modi architecto ut consequuntur et. Reprehenderit illo adipisci sunt expedita. Eaque ad alias facere optio rem. Qui ipsum quo molestias vitae optio blanditiis.,3.7,11
67,Nam saepe.,2016-11-15," Praesentium autem minus odit. Nostrum voluptatibus praesentium autem. Tempore ipsam officia suscipit adipisci quisquam. Placeat neque rerum sit nihil. Commodi aliquid quibusdam quia consequatur quos. Porro unde iusto incidunt hic. Officiis hic suscipit harum.
Iste fugit soluta maxime quibusdam.",2.0,17
68,Sit possimus temporibus.,2018-01-03, Nihil inventore nostrum mollitia odit dolorum. Ducimus eum natus eligendi officiis iure ad. Minus deleniti dolorum quas. Sunt sapiente quia provident nemo neque et. Doloremque excepturi nisi exercitationem nemo. Pariatur id illum alias alias natus. Nihil quis nihil soluta iste distinctio iste.,1.1,1
69,Amet magnam nobis.,2007-11-16," Voluptate placeat ab voluptate veniam quas. Architecto vitae dignissimos iusto saepe provident consectetur. Cumque rem ex. Omnis doloremque dolores consectetur. Pariatur totam veritatis provident.
Consectetur sequi animi soluta. Itaque iste vero minus quibusdam nisi.",4.4,1
70,Animi consequuntur distinctio.,2013-10-14, Reprehenderit eius nesciunt modi. Maxime impedit libero pariatur. Iure recusandae ea nobis nostrum illo. Minus in voluptas atque. Repellendus ea exercitationem explicabo natus. Odio corrupti ducimus ratione architecto. Fuga eius libero odio maiores repellendus. Culpa fugit quod atque. Asperiores in officiis eaque qui minima quisquam.,4.8,6
71,Nulla occaecati nam.,2016-04-21, Delectus amet hic aut id optio doloribus. Maiores deserunt ducimus necessitatibus quos unde accusamus est. Eum rerum tenetur alias soluta. Aspernatur error molestias architecto laboriosam aliquid consequatur. Aliquam possimus sunt. At ut totam perferendis architecto. Veritatis adipisci praesentium veniam modi reiciendis fugit.,2.7,4
72,Eos a perspiciatis.,2016-06-07," Voluptatem distinctio in tempore aperiam. A alias occaecati ea quaerat doloremque. Quia laudantium facilis dolore occaecati ad. Ratione animi magnam quidem quod. Omnis perferendis ipsam vel placeat sed. Neque quod nostrum ipsam necessitatibus. Repellendus aliquam earum est.
Iusto error neque omnis neque enim. Quo reiciendis dolorum placeat a.",3.5,8
73,Repudiandae libero.,2025-04-14, Ad excepturi quas accusamus odit optio. Ut similique consectetur dolorem dolor beatae ea. Velit deserunt mollitia cum dolor error. Natus nesciunt sunt asperiores accusamus quae. Illo placeat quidem vitae fugit exercitationem hic aperiam. Nisi pariatur delectus voluptatum consequuntur odit aperiam eum. Illum nam magni expedita tempora. Voluptatibus aspernatur numquam nisi.,3.9,4
74,Tempore at quo.,2007-08-06, Soluta assumenda cumque quae non enim. Recusandae fugiat neque eaque non. Eum quia sunt placeat iusto voluptatibus. Veniam officiis illo provident. Praesentium commodi perferendis quidem quo recusandae. Unde velit possimus fuga. Ea cupiditate molestiae ex autem voluptate illum. Amet dignissimos ex voluptate officiis minus.,4.9,4
75,Unde soluta placeat.,2007-11-29," Dolorum in cupiditate repudiandae eos. Officia odit deleniti a in. Suscipit accusantium ducimus atque laudantium dolor earum. Earum libero consequuntur quas cumque. Exercitationem harum ab repudiandae quasi. Amet et sed temporibus. Ex soluta quibusdam sint quis dicta.
Dolorem sunt quidem saepe tempore. Harum voluptas nesciunt modi aspernatur fugit.",3.1,10
76,Fugiat.,2013-06-16, Repudiandae iure nesciunt. Iure rem porro animi illum facilis quisquam. Eius neque maxime tempore saepe. Pariatur necessitatibus minima ea asperiores porro nulla. Odit facere pariatur nulla voluptatem aliquid repellat. Ad dicta maiores sint. Eveniet fuga impedit doloremque eveniet omnis autem. Cupiditate accusamus enim delectus quos eum fugiat.,3.8,10
77,Fuga cupiditate ea.,2020-06-15, Ad impedit quo. Reprehenderit alias occaecati dolore. Hic odio tempore reprehenderit iure. Delectus beatae repellat harum. Ratione minima magni libero placeat vero esse odio. Sed officiis neque porro eaque quibusdam dolorem quod. Consequatur exercitationem mollitia. Culpa repellat accusamus quisquam pariatur labore.,3.5,11
78,Aliquam deleniti asperiores.,2008-04-09, Fugiat deserunt aliquid. Optio doloremque animi. Fuga laudantium veritatis eaque quisquam deserunt. Provident numquam hic at reiciendis numquam. Ipsa in totam quaerat repudiandae. Possimus veritatis id illum laborum dicta quibusdam. Accusamus expedita culpa blanditiis. Accusamus perspiciatis quisquam totam.,2.9,9
79,Enim officiis pariatur.,2015-04-25," Dignissimos laborum reprehenderit vitae.
Sunt alias aperiam ducimus laboriosam amet nisi. Dolores corporis odit ex cumque. Minima sunt perferendis eligendi iusto voluptatem. Doloremque voluptate magnam saepe ducimus rem culpa. Et id illum sed. Consequuntur voluptas adipisci libero praesentium quae. Earum voluptates itaque est corrupti.",2.8,6
80,Iste debitis.,2023-07-14," Sapiente magni minus velit. Dolor dignissimos nulla quasi animi debitis accusantium. Alias suscipit placeat facere hic.
Enim enim excepturi. Quas commodi recusandae accusantium hic commodi quod. Odit aperiam asperiores repellat. Officia totam accusantium nisi ad. Ducimus suscipit repudiandae quisquam eaque.",3.0,1
81,Atque tempora.,2019-03-27, Accusantium vero quos ab esse reprehenderit. Consequuntur nostrum iusto debitis porro dolorum omnis numquam. Dolore molestiae fugit maiores. Eius quasi fugiat. Ex distinctio rem ducimus molestiae. Ut est nam in. Possimus ad nesciunt. Dignissimos aspernatur facere ea hic ex accusantium.,4.5,12
82,Aspernatur praesentium.,2017-07-03, Nesciunt ipsa perferendis impedit voluptatem cupiditate. Voluptates sequi ipsam quas. Veritatis tempora minima deleniti. Excepturi molestiae dolorum natus dicta quod. Explicabo distinctio sit sed eos consequatur odio. Cumque tenetur expedita fuga. Hic illum deleniti nihil quae accusantium quo minus.,2.7,20
83,Quas culpa.,2007-01-30, Ratione autem fugiat doloribus dicta quasi soluta. Molestiae recusandae omnis ex porro quaerat soluta. Cum sit et ad alias molestias perferendis. Minima expedita deleniti nostrum. Illum eius officia. Voluptatem inventore numquam deserunt facilis voluptates.,2.5,20
